"location","pedigree","rep_number","plot_number","Corrected_pedigree","Grower","join_key","clean_pedigree"
"GAH2","B73/MO17",1,135,"B73/MO17","Jason Wallace","GAH2-135",""
"GAH2","LH74/PHN82",1,217,"LH74/PHN82","Jason Wallace","GAH2-217",""
"GAH2","TX110/87916",1,38,"TX110/87916","Jason Wallace","GAH2-38",""
"GAH2","B73/MO17",2,268,"B73/MO17","Jason Wallace","GAH2-268",""
"GAH2","F42/H95",2,398,"F42/H95","Jason Wallace","GAH2-398",""
"GAH2","LH132/TX779",2,437,"LH132/TX779","Jason Wallace","GAH2-437",""
"GAH2","TX110/87916",2,455,"TX110/87916","Jason Wallace","GAH2-455",""
"NEH1","B37/MO17",1,135,"B37/MO17","James Schnable","NEH1-135",""
"NEH1","CG119/CG108",1,145,"CG119/CG108","James Schnable","NEH1-145",""
"NEH1","B37/H95",1,184,"B37/H95","James Schnable","NEH1-184",""
"NEH2","B73/PHN82",1,120,"B73/PHN82","James Schnable","NEH2-120",""
"NEH2","F42/H95",1,167,"F42/H95","James Schnable","NEH2-167",""
"NEH2","PHW52/PHN82",1,16,"PHW52/PHN82","James Schnable","NEH2-16",""
"NEH2","B73/PHM49",1,183,"B73/PHM49","James Schnable","NEH2-183",""
"NEH2","F42/MO17",1,35,"F42/MO17","James Schnable","NEH2-35",""
"NEH2","LH74/PHN82",1,89,"LH74/PHN82","James Schnable","NEH2-89",""
"NEH2","PHG39/PHN82",1,93,"PHG39/PHN82","James Schnable","NEH2-93",""
"NEH2","B73/PHN82",2,231,"B73/PHN82","James Schnable","NEH2-231",""
"NEH2","B73/MO17",2,243,"B73/MO17","James Schnable","NEH2-243",""
"NEH2","F42/MO17",2,263,"F42/MO17","James Schnable","NEH2-263",""
"NEH2","F42/H95",2,266,"F42/H95","James Schnable","NEH2-266",""
"NEH2","PHW52/PHN82",2,320,"PHW52/PHN82","James Schnable","NEH2-320",""
"NEH2","PHG39/PHN82",2,331,"PHG39/PHN82","James Schnable","NEH2-331",""
"NEH2","LH74/PHN82",2,345,"LH74/PHN82","James Schnable","NEH2-345",""
"NEH2","B73/PHM49",2,368,"B73/PHM49","James Schnable","NEH2-368",""
