"Female.Pedigree"	"Male.Pedigree"	"Female.GBS"	"Male.GBS"
"2369"	"LH123HT"	"PI601559:250031915"	"LH123Ht:250007441"
"B14A"	"H95"	"PI550461:250031584"	"H95:250039837"
"B14A"	"MO17"	"PI550461:250031584"	"Mo17:100001215"
"B14A"	"OH43"	"PI550461:250031584"	"Oh43:250040825"
"B37"	"H95"	"B37:250040081"	"H95:250039837"
"B37"	"MO17"	"B37:250040081"	"Mo17:100001215"
"B37"	"OH43"	"B37:250040081"	"Oh43:250040825"
"B73"	"MO17"	"B73:100001151"	"Mo17:100001215"
"B73"	"PHM49"	"B73:100001151"	"PI601568:250031201"
"B73"	"PHN82"	"B73:100001151"	"PI601783:250031695"
"B73"	"TX779"	"B73:100001151"	NA
"CG119"	"CG108"	"CG119:100001117"	"CG108:100001212"
"CG44"	"CGR01"	"CG44:100001142"	"CGR01:100001221"
"F42"	"H95"	"PI601026:250032197"	"H95:250039837"
"F42"	"MO17"	"PI601026:250032197"	"Mo17:100001215"
"F42"	"OH43"	"PI601026:250032197"	"Oh43:250040825"
"LH132"	"TX779"	"LH132:250007440"	NA
"LH74"	"PHN82"	"PI600957:250032450"	"PI601783:250031695"
"PHG39"	"PHN82"	"PI600981:250033863"	"PI601783:250031695"
"PHW52"	"PHM49"	"PI601575:250035073"	"PI601568:250031201"
"PHW52"	"PHN82"	"PI601575:250035073"	"PI601783:250031695"
"TX110"	"87916"	NA	NA
"TX714"	"TX779"	"PI633840:250032201"	NA
"TX777"	"LH195"	NA	"PI537097:250033872"
"TX779"	"LH195"	NA	"PI537097:250033872"
